Herptile,Mammal,Fruit,Nectar,Fish,Woody,Other,Animal,Plant,Herbaceous,Vertebrate,Invertebrate,Leaf,Seed,Bird,trophic_level,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,habitat_breadth_n,Activity.Nocturnal,Activity.Crepuscular,BodyMass.SpecLevel,Activity.Diurnal,scientific,Order,Family,Genus,DerekDietClassification90InsVertivoreSorting,foraging_stratum,biogeographical_realm,Species,adult_mass_g,dphy_invertebrate,dphy_vertebrate,dphy_plant,adult_body_mass_g,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.Vunk,Diet.Seed,BodyMass.Value,Diet.Vect,Diet.Scav,Diet.Nect,Diet.PlantO,Diet.Vend,Diet.Inv,Diet.Fruit,Diet.Vfish,Diet.PlantAll
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Marmosa xerophila,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,xerophila,30.0,40.0,30.0,30.0,30.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,46.2,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Marmosa tyleriana,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,tyleriana,30.0,40.0,30.0,30.0,30.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,32.4,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Marmosa rubra,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,rubra,62.99,40.0,30.0,30.0,62.99,30.0,30.0,70.0,30.0,0.0,10.0,0.0,63.0,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Marmosa quichua,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,quichua,518.0,33.0,22.0,45.0,518.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,38.23,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Marmosa mexicana,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,mexicana,60.0,40.0,30.0,30.0,60.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,49.45,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Marmosa lepida,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,lepida,16.0,40.0,30.0,30.0,16.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,14.0,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Marmosa andersoni,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,andersoni,33.0,40.0,30.0,30.0,33.0,30.0,30.0,70.0,30.0,0.0,10.0,0.0,47.4,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Marmosa robinsoni,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosa,,Ar,Neotropical,robinsoni,98.5,40.0,30.0,30.0,98.5,30.0,30.0,70.0,30.0,0.0,10.0,0.0,56.67,10.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,30.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Marmosops handleyi,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,,Ar,Neotropical,handleyi,30.0,50.0,0.0,50.0,30.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Marmosops juninensis,DIDELPHIMORPHIA,DIDELPHIDAE,Marmosops,,Ar,Neotropical,juninensis,21.0,20.0,0.0,80.0,21.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,31.57,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0
