Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Rhinolophus sinicus,Horseshoe Bats,vs_HLrhiSin1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,NA,NA,NA,NA
Tadarida brasiliensis,Free-tailed Bats,vs_HLtadBra1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,11.2,1,3,NA,NA
Myotis brandtii,Brandt's bat,vs_myoBra1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,NA,NA,NA,NA
Myotis davidii,David's myotis bat,vs_myoDav1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,NA,NA,NA,NA
Myotis lucifugus,Microbat,vs_HLmyoLuc1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,6.5,1,3,62.81104667,5.498781
Myotis myotis,Greater mouse-eared bat,vs_HLmyoMyo6,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,NA,1,3,NA,NA
Dasypus novemcinctus,Armadillo,vs_dasNov3,1,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore/Carnivore,3510,5,2,38.9948748,5.518621557
Mungos mungo,Banded mongoose,vs_HLmunMug1,1,0,1,1,0,0,0,1,0,0,0,0,0,Insectivore/Carnivore,NA,1,3,18.23899501,4.412094712
Allactaga bullata,Gobi jerboa,vs_HLallBul1,0,0,0,0,0,1,0,0,0,0,0,0,0,Insectivore/Herbivore,NA,NA,NA,NA,NA
Anoura caudifer,Geoffroy's Long-nosed Bats,vs_HLanoCau1,0,1,1,0,0,0,1,0,0,0,0,0,0,Insectivore/Herbivore,11.5,3,2,NA,NA
Carollia perspicillata,Short-tailed Leaf-nosed Bats,vs_HLcarPer3,0,1,1,0,0,0,1,0,0,0,0,0,0,Insectivore/Herbivore,14.9,3,2,6.272461625,1.885706453
Daubentonia madagascariensis,Aye-ayes,vs_HLdauMad1,0,1,1,0,1,0,1,0,0,0,0,0,0,Insectivore/Herbivore,NA,6,2,NA,NA
