Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Artiodactyla,Cervidae,Cervus,nippon,Cervus nippon,Cervus_nippon,0,0,1,0,53000,Fibrous,53,Herbivore
Artiodactyla,Cervidae,Dama,dama,Dama dama,Dama_dama,0,0,1,0,52375,Fibrous,52.375,Herbivore
Artiodactyla,Cervidae,Elaphodus,cephalophus,Elaphodus cephalophus,Elaphodus_cephalophus,0,0,1,0,33500,Fibrous,33.5,Herbivore
Artiodactyla,Cervidae,Elaphurus,davidianus,Elaphurus davidianus,Elaphurus_davidianus,0,0,1,0,149000,Fibrous,149,Herbivore
Artiodactyla,Cervidae,Hippocamelus,antisensis,Hippocamelus antisensis,Hippocamelus_antisensis,0,0,1,0,68599.3,Fibrous,68.5993,Herbivore
Artiodactyla,Cervidae,Hippocamelus,bisulcus,Hippocamelus bisulcus,Hippocamelus_bisulcus,0,0,1,0,70000.3,Fibrous,70.0003,Herbivore
Artiodactyla,Cervidae,Hydropotes,inermis,Hydropotes inermis,Hydropotes_inermis,0,0,1,1,14000,Nonfibrous/Fibrous,14,Herbivore
Artiodactyla,Cervidae,Mazama,americana,Mazama americana,Mazama_americana,0,0,1,1,22799.7,Nonfibrous/Fibrous,22.7997,Herbivore
Artiodactyla,Cervidae,Mazama,bricenii,Mazama bricenii,Mazama_bricenii,0,0,1,1,16499.9,Nonfibrous/Fibrous,16.4999,Herbivore
Artiodactyla,Cervidae,Mazama,chunyi,Mazama chunyi,Mazama_chunyi,0,0,1,1,16499.9,Nonfibrous/Fibrous,16.4999,Herbivore
Artiodactyla,Cervidae,Mazama,gouazoubira,Mazama gouazoubira,Mazama_gouazoubira,0,0,1,1,16300.1,Nonfibrous/Fibrous,16.3001,Herbivore
Artiodactyla,Cervidae,Mazama,nana,Mazama nana,Mazama_nana,0,0,1,1,16499.9,Nonfibrous/Fibrous,16.4999,Herbivore
Artiodactyla,Cervidae,Mazama,rufina,Mazama rufina,Mazama_rufina,0,0,1,1,25999.8,Nonfibrous/Fibrous,25.9998,Herbivore
Artiodactyla,Cervidae,Muntiacus,atherodes,Muntiacus atherodes,Muntiacus_atherodes,0,0,1,1,15600,Nonfibrous/Fibrous,15.6,Herbivore
Artiodactyla,Cervidae,Muntiacus,crinifrons,Muntiacus crinifrons,Muntiacus_crinifrons,0,0,1,1,23100,Nonfibrous/Fibrous,23.1,Herbivore
Artiodactyla,Cervidae,Muntiacus,feae,Muntiacus feae,Muntiacus_feae,0,0,1,1,22000,Nonfibrous/Fibrous,22,Herbivore
Artiodactyla,Cervidae,Muntiacus,muntjak,Muntiacus muntjak,Muntiacus_muntjak,0,0,1,1,16888,Nonfibrous/Fibrous,16.888,Herbivore
Artiodactyla,Cervidae,Muntiacus,reevesi,Muntiacus reevesi,Muntiacus_reevesi,0,0,1,0,13500,Fibrous,13.5,Herbivore
Artiodactyla,Cervidae,Odocoileus,hemionus,Odocoileus hemionus,Odocoileus_hemionus,0,0,1,1,54212.6,Nonfibrous/Fibrous,54.2126,Herbivore
Artiodactyla,Cervidae,Odocoileus,virginianus,Odocoileus virginianus,Odocoileus_virginianus,0,0,1,1,55508.6,Nonfibrous/Fibrous,55.5086,Herbivore
