scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Hypsignathus monstrosus,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,monstrosus,CHIROPTERA,0.0,0.0,0.0,Hypsignathus,0.0,3.0,3.0,0.0,0.0,Herbivore,Hypsignathus monstrosus,336.97,3.35,265.24,127.5,4462.125,227.99,353.13,125.14,,1.4,2.0,,39.3,,163.92,,,,0.0,2.0,,,0.0,10.0,90.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1800.0,,,0.0,,0.0,0.0,Afrotropical,2.0,Mammalia,-999.0,Hammer-headed Fruit Bat,1.4,2.0,336.97,12.225,125.14,-999.0,39.3,163.92,-999.0,-999.0,-999.0,12.225,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,26.524,-999.0,-999.0,15.017,-999.0,-999.0,-999.0,-999.0,-999.0,Hypsignathus,227.99,monstrosus,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,90.0,335.08,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,10.0,1.0,0.0,3796.0,ABC,Ref_117,0.0,0.0,Ref_1
Latidens salimalii,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,salimalii,CHIROPTERA,0.0,0.0,0.0,Latidens,0.0,0.0,0.0,0.0,0.0,Herbivore,Latidens salimalii,49.99,,106.38,67.49,,,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1100.0,800.0,300.0,0.0,,0.0,0.0,Indomalayan,2.0,Mammalia,-999.0,Salim Ali's Fruit Bat,-999.0,-999.0,49.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.638,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Latidens,-999.0,salimalii,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,44.0,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,3797.0,D2,Ref_178,20.0,0.0,Ref_3
Lissonycteris angolensis,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,angolensis,CHIROPTERA,0.0,1.0,0.0,Lissonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Lissonycteris angolensis,68.31,1.762,120.08,73.08,3157.25,,,121.66,,0.99,2.0,,,,,,,,0.0,2.0,,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,2.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,4000.0,0.0,4000.0,0.0,,1.0,0.0,Afrotropical,5.0,Mammalia,-999.0,Angolan Soft-furred Fruit Bat,0.99,2.0,68.31,8.65,121.66,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.65,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.008,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Lissonycteris,-999.0,angolensis,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,60.0,68.31,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3798.0,ABC,Ref_58,40.0,0.0,Ref_1
Macroglossus minimus,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,minimus,CHIROPTERA,1.0,1.0,0.0,Macroglossus,0.0,0.0,0.0,0.0,0.0,Herbivore,Macroglossus minimus,16.1,0.607,68.09,40.23,2670.583,87.77,212.91,125.14,,0.99,3.0,,3.81,65.0,,,,,0.0,2.0,,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,2.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,2250.0,0.0,2250.0,1.0,,1.0,0.0,"Australasian, Indomalayan",3.0,Mammalia,-999.0,Dagger-toothed Long-nosed Fruit Bat,0.99,3.0,16.1,7.316666667,125.14,65.0,3.81,-999.0,-999.0,-999.0,-999.0,7.316666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.809,-999.0,-999.0,2.628,-999.0,-999.0,-999.0,-999.0,-999.0,Macroglossus,87.77,minimus,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,20.0,16.37,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3799.0,ABC,Ref_117,80.0,0.0,Ref_1
Macroglossus sobrinus,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,sobrinus,CHIROPTERA,1.0,1.0,0.0,Macroglossus,0.0,0.0,0.0,0.0,0.0,Herbivore,Macroglossus sobrinus,21.8,0.692,85.0,46.96,2190.0,,,,,1.0,,,,,,,,,0.0,2.0,,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,2.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,2000.0,,,0.0,,1.0,0.0,Indomalayan,2.0,Mammalia,-999.0,Greater Long-nosed Fruit Bat,1.0,-999.0,21.8,6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,24.4,23.0,-999.0,-999.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Macroglossus,-999.0,sobrinus,Chiroptera,Pteropodidae,macroglossus_sobrinus,Long-tongued Fruit Bats,HLmacSob1,vs_HLmacSob1,,Chiroptera,Pteropodidae,Macroglossus,sobrinus,118.0,-,,Herbivore,Herbivore,Herbivore,Herbivore,H-Nectarivore,H-High-sugar-plants-Eater,H-High-sugar-plants-Eater,1.0,Herbivore,-,,0.0,0.0,0.0,100.0,0.0,100.0,-,1.0,wild,0.0,0.0,A,0.0,20.0,22.13,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3800.0,ABC,Ref_117,80.0,0.0,Ref_1
Megaerops kusnotoi,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,kusnotoi,CHIROPTERA,0.0,0.0,0.0,Megaerops,0.0,0.0,0.0,0.0,0.0,Herbivore,Megaerops kusnotoi,19.89,,,51.32,,,,,,,,,,,,1825.0,,,0.0,2.0,,,1.0,0.0,99.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,1.0,,0.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Javan Tailless Fruit Bat,-999.0,-999.0,19.89,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megaerops,-999.0,kusnotoi,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,35.94,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,3801.0,D2,Ref_178,20.0,0.0,Ref_3
Megaerops niphanae,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,niphanae,CHIROPTERA,0.0,0.0,0.0,Megaerops,0.0,0.0,0.0,0.0,0.0,Herbivore,Megaerops niphanae,26.3,0.958,,57.17,,,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,2100.0,100.0,2000.0,0.0,,1.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Ratanaworabhan's Fruit Bat,-999.0,-999.0,26.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megaerops,-999.0,niphanae,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,32.6,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3802.0,D2,Ref_117,20.0,0.0,Ref_3
Megaerops wetmorei,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wetmorei,CHIROPTERA,0.0,0.0,0.0,Megaerops,0.0,0.0,0.0,0.0,0.0,Herbivore,Megaerops wetmorei,18.7,,,49.48,,,,,,,,,,,,,,,0.0,2.0,,,1.0,0.0,99.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1200.0,800.0,400.0,1.0,,0.0,0.0,Indomalayan,1.0,Mammalia,-999.0,White-collared Fruit Bat,-999.0,-999.0,18.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megaerops,-999.0,wetmorei,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,18.5,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3803.0,D2,Ref_117,20.0,0.0,Ref_3
Megaerops ecaudatus,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ecaudatus,CHIROPTERA,0.0,0.0,0.0,Megaerops,0.0,0.0,0.0,0.0,0.0,Herbivore,Megaerops ecaudatus,26.29,0.822,102.0,54.5,,,,,,,,,,,,,,,0.0,2.0,,1.0,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,3000.0,100.0,2900.0,1.0,,1.0,0.0,Indomalayan,1.0,Mammalia,-999.0,Temminck's Tailless Fruit Bat,-999.0,-999.0,26.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megaerops,-999.0,ecaudatus,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,24.67,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3804.0,D2,Ref_117,20.0,0.0,Ref_3
Megaloglossus woermanni,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,woermanni,CHIROPTERA,1.0,1.0,0.0,Megaloglossus,0.0,0.0,0.0,0.0,0.0,Herbivore,Megaloglossus woermanni,14.555,0.68,61.295,41.83,,,,,,1.0,2.0,,3.25,,,,,,0.0,2.0,,1.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,0.0,,1.0,0.0,Afrotropical,1.0,Mammalia,-999.0,Woermann's Long-tongued Fruit Bat,1.0,2.0,14.555,-999.0,-999.0,-999.0,3.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.0,13.2,-999.0,-999.0,-999.0,-999.0,6.1295,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megaloglossus,-999.0,woermanni,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,15.66,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3805.0,ABC,Ref_117,100.0,0.0,Ref_1
Melonycteris melanops,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,melanops,CHIROPTERA,1.0,1.0,0.0,Melonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Melonycteris melanops,50.445,1.288,100.065,59.99,,,,,,,2.0,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,2.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1600.0,0.0,1600.0,1.0,,0.0,0.0,Australasian,2.0,Mammalia,-999.0,Black-bellied Fruit Bat,-999.0,2.0,50.445,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0065,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Melonycteris,-999.0,melanops,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,30.0,49.04,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3806.0,ABC,Ref_117,70.0,0.0,Ref_1
Melonycteris woodfordi,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,woodfordi,CHIROPTERA,1.0,1.0,0.0,Melonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Melonycteris woodfordi,36.2,1.018,88.28,53.73,,,,,,0.98,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,2.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1100.0,0.0,1100.0,1.0,,0.0,0.0,Australasian,2.0,Mammalia,-999.0,Woodford's Fruit Bat,0.98,-999.0,36.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.828,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Melonycteris,-999.0,woodfordi,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,30.0,36.88,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3807.0,ABC,Ref_117,70.0,0.0,Ref_1
Melonycteris fardoulisi,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,fardoulisi,CHIROPTERA,1.0,1.0,0.0,Melonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Melonycteris fardoulisi,48.4,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,,,,,Australasian,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melonycteris,,fardoulisi,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,30.0,42.53,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,3808.0,D1,"Ref_2, Ref_3",70.0,0.0,Ref_2
Micropteropus pusillus,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,pusillus,CHIROPTERA,0.0,3.0,0.0,Micropteropus,0.0,0.0,0.0,0.0,0.0,Herbivore,Micropteropus pusillus,25.38,0.82,90.69,51.98,1669.875,202.08,349.79,161.77,,0.99,2.0,,,55.18,20.0,,,,0.0,2.0,,1.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,1.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,0.0,,1.0,0.0,Afrotropical,3.0,Mammalia,-999.0,Peters's Lesser Epauletted Fruit Bat,0.99,2.0,25.38,4.575,161.77,55.18,-999.0,20.0,-999.0,-999.0,-999.0,4.575,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9.069,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Micropteropus,202.08,pusillus,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,90.0,26.57,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3809.0,ABC,Ref_117,10.0,0.0,Ref_1
Micropteropus intermedius,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,intermedius,CHIROPTERA,0.0,3.0,0.0,Micropteropus,0.0,0.0,0.0,0.0,0.0,Herbivore,Micropteropus intermedius,32.01,,,60.59,,,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,0.0,,0.0,0.0,Afrotropical,2.0,Mammalia,-999.0,Hayman's Lesser Epauletted Fruit Bat,-999.0,-999.0,32.01,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Micropteropus,-999.0,intermedius,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,100.0,59.17,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,3810.0,ABC,Ref_178,0.0,0.0,Ref_1
Myonycteris relicta,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,relicta,CHIROPTERA,1.0,0.0,0.0,Myonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Myonycteris relicta,53.32,,,69.68,,,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,0.0,,1.0,0.0,Afrotropical,1.0,Mammalia,-999.0,Bergmans's Collared Fruit Bat,-999.0,-999.0,53.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Myonycteris,-999.0,relicta,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,52.0,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3811.0,D2,Ref_117,20.0,0.0,Ref_3
Myonycteris torquata,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,torquata,CHIROPTERA,1.0,0.0,0.0,Myonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Myonycteris torquata,37.0,1.159,132.2,60.94,10950.0,730.5,882.7,152.2,,1.0,2.0,,11.0,,,,,,0.0,2.0,,1.0,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,800.0,,,0.0,,1.0,0.0,Afrotropical,1.0,Mammalia,-999.0,Little Collared Fruit Bat,1.0,2.0,37.0,30.0,152.2,-999.0,11.0,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,13.22,-999.0,-999.0,3.003,-999.0,-999.0,-999.0,-999.0,730.5,Myonycteris,730.5,torquata,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,42.23,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3812.0,D2,Ref_117,20.0,0.0,Ref_3
Myonycteris brachycephala,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,brachycephala,CHIROPTERA,1.0,0.0,0.0,Myonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Myonycteris brachycephala,35.81,,,63.01,,,,,,,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1200.0,300.0,900.0,1.0,,0.0,0.0,Afrotropical,1.0,Mammalia,-999.0,Sao Tome Collared Fruit Bat,-999.0,-999.0,35.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Myonycteris,-999.0,brachycephala,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,53.39,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,3813.0,D2,Ref_178,20.0,0.0,Ref_3
Nanonycteris veldkampii,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,veldkampii,CHIROPTERA,0.0,1.0,0.0,Nanonycteris,0.0,0.0,0.0,0.0,0.0,Herbivore,Nanonycteris veldkampii,21.89,,75.0,48.0,,,,,,0.98,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,Ar,1.0,0.0,0.0,0.0,1.0,1200.0,0.0,1200.0,0.0,,0.0,0.0,Afrotropical,2.0,Mammalia,-999.0,Veldkamp's Dwarf Epauletted Fruit Bat,0.98,-999.0,21.89,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Nanonycteris,-999.0,veldkampii,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,21.89,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3814.0,ABC,Ref_58,100.0,0.0,Ref_1
Neopteryx frosti,Pteropodidae,0.0,0.0,0.0,PTEROPODIDAE,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,frosti,CHIROPTERA,0.0,0.0,0.0,Neopteryx,0.0,0.0,0.0,0.0,0.0,Herbivore,Neopteryx frosti,176.65,,105.0,110.0,,,,,,0.98,,,,,,,,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,Ar,1.0,0.0,0.0,0.0,1.0,,,,1.0,,0.0,0.0,Australasian,1.0,Mammalia,-999.0,Small-toothed Fruit Bat,0.98,-999.0,176.65,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Neopteryx,-999.0,frosti,Chiroptera,Pteropodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,80.0,153.86,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,3815.0,D2,Ref_178,20.0,0.0,Ref_3
